"Data generated on Thursday, February 21, 2019 at 12:43:58 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","24","Distillers Grains","77,887","76,756","78,541","94,445","113,151","160,861","391,964","980,637","966,276","1,622,987","1,871,090","2,104,367","2,947,039","2,962,927","2,982,805","2,158,696","1,851,276","US","R00","0110AT",
"1","World Total","25","Planting Seeds","761,018","872,186","829,694","908,551","930,584","875,254","1,025,623","1,284,057","1,162,128","1,262,712","1,422,382","1,530,913","1,621,991","1,676,647","1,603,460","1,661,915","1,850,126","US","R00","0120AT",
"1","World Total","26","Chocolate & Cocoa Products","683,886","565,185","622,523","678,404","709,820","785,069","907,249","1,047,240","1,029,784","1,167,420","1,408,158","1,539,710","1,690,317","1,785,833","1,737,776","1,755,419","1,766,043","US","R00","0200AT",
"1","World Total","27","Condiments & Sauces","472,874","482,149","507,358","564,587","604,429","666,548","730,165","862,926","888,002","992,830","1,101,485","1,206,533","1,343,881","1,512,680","1,669,015","1,707,686","1,762,592","US","R00","0215AT",
"1","World Total","28","Rice","692,195","768,919","1,023,919","1,160,911","1,272,278","1,265,257","1,387,420","2,198,119","2,166,899","2,323,377","2,099,172","2,040,462","2,172,433","1,960,182","1,989,890","1,788,700","1,709,166","US","R00","0030AT",
"1","World Total","29","Vegetable Oils (ex. soybean)","827,314","977,763","938,377","1,155,544","1,101,274","1,196,354","1,446,300","2,136,882","1,687,206","1,953,298","2,306,486","2,523,046","2,078,092","1,827,861","1,762,128","1,653,200","1,685,233","US","R00","0085AT",
"1","World Total","30","Distilled Spirits","533,905","550,681","587,017","718,686","757,568","873,898","1,012,770","1,084,460","1,039,056","1,157,322","1,340,590","1,482,059","1,507,946","1,569,131","1,570,857","1,430,163","1,643,376","US","R00","0275AT",
"1","World Total","31","Processed Fruit","651,847","636,136","688,374","754,237","765,175","876,683","999,173","1,192,761","1,131,355","1,263,905","1,519,635","1,570,526","1,622,691","1,726,258","1,705,848","1,603,076","1,604,921","US","R00","0180AT",
"1","World Total","32","Sugar, Sweeteners, Bev. Bases","791,136","707,910","706,035","620,756","678,050","840,681","1,051,658","1,034,529","954,841","1,383,300","1,763,624","1,909,218","1,803,890","1,653,349","1,527,172","1,498,349","1,410,803","US","R00","0125AT",
"1","World Total","33","Dog & Cat Food","907,559","691,139","702,270","700,820","807,145","964,898","1,038,979","1,175,756","1,132,315","1,127,853","1,256,236","1,308,751","1,351,347","1,300,654","1,280,583","1,308,804","1,373,274","US","R00","0235AT",
"1","World Total","34","Hay","301,078","403,704","440,308","415,996","438,046","450,349","513,676","582,179","747,910","827,077","921,290","1,162,761","1,226,090","1,053,948","1,139,534","1,173,289","1,244,390","US","R00","0105AT",
"1","World Total","35","Coarse Grains (ex. corn)","733,210","645,322","639,336","570,423","592,672","669,422","1,182,662","1,439,323","676,713","760,345","1,011,054","555,338","574,843","1,745,280","2,344,810","1,330,747","1,072,181","US","R00","0025AT",
"1","World Total","36","Fruit & Vegetable Juices","711,941","725,039","723,715","748,939","812,408","962,510","1,106,870","1,195,964","1,137,407","1,226,061","1,374,106","1,355,864","1,365,502","1,286,545","1,191,426","1,119,707","1,035,394","US","R00","0190AT",
"1","World Total","37","Tobacco","1,268,839","1,049,709","1,038,073","1,044,440","989,588","1,141,374","1,207,945","1,238,047","1,158,970","1,167,644","1,148,991","1,101,214","1,137,947","1,085,958","1,108,756","1,085,424","1,010,325","US","R00","0055AT",
"1","World Total","38","Soybean Oil","263,911","477,180","554,755","301,260","315,155","377,032","759,041","1,396,607","1,056,494","1,575,257","1,271,841","1,158,593","915,066","817,051","809,023","830,122","886,052","US","R00","0080AT",
"1","World Total","39","Pulses","233,708","235,940","233,796","236,123","297,117","350,005","393,968","626,347","613,918","640,174","567,819","726,562","757,091","786,371","700,477","826,280","841,243","US","R00","0050AT",
"1","World Total","40","Live Animals","852,685","598,794","540,953","463,685","601,527","681,302","645,725","761,971","723,317","733,720","951,680","1,096,109","888,981","844,958","635,726","645,432","829,704","US","R00","0095AT",
"1","World Total","41","Breakfast Cereals","250,608","253,591","275,026","321,881","361,675","380,926","399,213","438,013","514,955","542,968","568,253","663,806","705,495","720,481","749,362","688,271","662,830","US","R00","0210AT",
"1","World Total","42","Other Bulk Commodities","240,932","283,620","237,510","278,513","252,483","275,241","316,132","397,469","361,554","423,181","439,222","463,014","726,653","645,722","607,689","754,112","617,807","US","R00","0060AT",
"1","World Total","43","Meat Products NESOI","313,815","240,725","245,725","240,371","325,332","344,660","371,393","353,101","431,418","523,471","578,333","592,287","625,294","620,597","570,888","553,727","580,009","US","R00","0160AT",
"1","World Total","44","Eggs & Products","183,308","168,920","177,438","214,777","249,910","258,267","317,597","322,774","365,268","383,669","435,619","503,576","641,760","636,915","634,487","549,983","566,508","US","R00","0165AT",
"1","World Total","45","Animal Fats","326,688","448,819","511,535","549,971","452,544","483,334","814,290","948,166","673,780","999,481","1,212,688","812,248","634,631","581,246","413,543","480,398","555,195","US","R00","0090AT",
