Partner,Product,Year,January,February,March,April,May,June,July,August,September,October,November,December,Total,Reporter Code,Partner Code,Product Code
Guatemala,Soybeans,2009-2009,0,0,440,664,0,0,0,925,898,0,647,0,"3,575",US,GT,0035AT
Guatemala,Soybeans,2010-2010,13,0,426,898,0,0,0,"1,366",0,"1,598",0,0,"4,301",US,GT,0035AT
Guatemala,Soybeans,2011-2011,0,0,"1,585",0,0,0,0,"1,152",0,865,"1,559",0,"5,161",US,GT,0035AT
Guatemala,Soybeans,2012-2012,0,"1,406",0,"1,238",0,"1,290",0,0,0,"1,980","1,587","1,037","8,537",US,GT,0035AT
Guatemala,Soybeans,2013-2013,0,0,"1,540",0,"1,213",0,"1,386",0,0,970,0,985,"6,094",US,GT,0035AT
Guatemala,Soybeans,2014-2014,0,0,"3,124","1,286","2,356",0,0,"2,592","1,942","1,661","1,597",865,"15,422",US,GT,0035AT
Guatemala,Soybeans,2015-2015,0,936,"1,151",797,"4,532",130,951,"2,695",537,491,513,510,"13,242",US,GT,0035AT
Guatemala,Soybeans,2016-2016,642,665,745,661,784,"1,304",0,0,773,0,726,727,"7,027",US,GT,0035AT
Guatemala,Soybeans,2017-2017,0,46,46,0,0,46,"1,028",0,869,0,0,0,"2,035",US,GT,0035AT
Guatemala,Soybeans,2018-2018,0,0,0,91,0,0,0,0,69,0,0,,160,US,GT,0035AT
Guyana,Soybeans,2001-2001,0,0,0,0,0,0,0,0,0,45,0,0,45,US,GY,0035AT
Guyana,Soybeans,2012-2012,0,0,6,0,0,0,0,0,0,0,0,0,6,US,GY,0035AT
Guyana,Soybeans,2015-2015,0,0,0,0,0,0,0,0,0,0,16,0,16,US,GY,0035AT
Guyana,Soybeans,2016-2016,0,8,0,0,0,0,0,0,0,0,0,0,8,US,GY,0035AT
Honduras,Soybeans,2003-2003,0,0,0,0,0,0,352,0,0,0,0,0,352,US,HO,0035AT
Honduras,Soybeans,2011-2011,0,0,0,711,32,0,"1,472",166,80,0,0,68,"2,529",US,HO,0035AT
Honduras,Soybeans,2012-2012,0,0,0,0,0,835,41,0,"1,070",0,139,0,"2,085",US,HO,0035AT
Honduras,Soybeans,2013-2013,887,0,130,0,0,0,0,0,0,0,0,0,"1,017",US,HO,0035AT
Honduras,Soybeans,2014-2014,0,4,0,0,0,0,0,0,0,0,11,0,15,US,HO,0035AT
Honduras,Soybeans,2016-2016,0,0,"2,443",0,0,0,0,0,0,0,0,0,"2,443",US,HO,0035AT
Honduras,Soybeans,2017-2017,0,"5,768",0,0,0,0,0,0,0,0,6,0,"5,774",US,HO,0035AT
Hungary,Soybeans,2001-2001,0,0,0,0,0,0,0,0,0,191,"2,756",0,"2,947",US,HU,0035AT
Hungary,Soybeans,2002-2002,0,5,0,0,0,0,0,0,0,0,0,0,5,US,HU,0035AT
Hungary,Soybeans,2007-2007,0,0,0,15,0,0,0,0,0,0,0,0,15,US,HU,0035AT
Hungary,Soybeans,2010-2010,0,0,260,0,0,0,0,0,0,0,0,0,260,US,HU,0035AT
Iceland,Soybeans,2011-2011,0,0,0,0,0,7,0,0,0,0,0,0,7,US,IC,0035AT
Iceland,Soybeans,2014-2014,0,0,0,0,0,0,0,0,0,0,0,4,4,US,IC,0035AT
Iceland,Soybeans,2017-2017,0,0,0,0,0,0,10,0,0,0,0,0,10,US,IC,0035AT
Cote d'Ivoire,Soybeans,2015-2015,0,0,14,14,0,0,0,0,0,0,0,0,29,US,IV,0035AT
Iraq,Soybeans,2012-2012,0,0,0,0,8,0,0,0,0,0,0,0,8,US,IZ,0035AT
Jordan,Soybeans,2001-2001,0,0,0,0,0,4,0,0,0,0,0,0,4,US,JO,0035AT
Jordan,Soybeans,2011-2011,0,0,0,0,0,0,0,0,0,36,0,0,36,US,JO,0035AT
Kyrgyzstan,Soybeans,2010-2010,0,10,0,0,0,0,0,0,0,0,0,0,10,US,KG,0035AT
"Korea, North",Soybeans,2005-2005,0,0,0,0,0,0,0,0,0,"1,573",0,0,"1,573",US,KN,0035AT
"Korea, North",Soybeans,2008-2008,0,0,0,0,0,0,0,0,0,"2,341",0,"2,341","4,681",US,KN,0035AT
Liberia,Soybeans,2010-2010,0,0,0,0,0,0,0,36,0,0,0,0,36,US,LI,0035AT
Liberia,Soybeans,2011-2011,0,0,0,0,0,0,0,0,0,14,0,0,14,US,LI,0035AT
Liberia,Soybeans,2013-2013,0,0,0,0,0,0,0,0,0,0,19,0,19,US,LI,0035AT
Madagascar,Soybeans,2005-2005,0,0,0,0,0,0,0,0,0,0,"1,761",0,"1,761",US,MA,0035AT
Madagascar,Soybeans,2006-2006,"1,854",0,0,0,0,0,0,0,0,0,0,0,"1,854",US,MA,0035AT
Macau,Soybeans,2002-2002,0,9,0,0,0,0,0,0,0,0,0,0,9,US,MC,0035AT
Moldova,Soybeans,2010-2010,"6,869",0,0,0,0,0,0,0,0,0,0,0,"6,869",US,MD,0035AT
Mayotte,Soybeans,2012-2012,0,0,0,0,0,0,0,0,0,"6,421",0,0,"6,421",US,MF,0035AT
Mongolia,Soybeans,2006-2006,0,0,0,0,71,0,0,0,0,0,0,0,71,US,MG,0035AT
Morocco,Soybeans,2001-2001,"3,546","3,612","3,464",0,0,0,0,0,0,0,"3,430",0,"14,052",US,MO,0035AT
Morocco,Soybeans,2002-2002,"4,723","3,554",0,0,0,0,0,0,"5,514","9,094","4,978","6,824","34,687",US,MO,0035AT
Morocco,Soybeans,2003-2003,"6,154","5,038","6,160","9,978",0,0,0,"5,598",0,"6,187","8,036","7,433","54,584",US,MO,0035AT
Morocco,Soybeans,2004-2004,0,"15,568",0,0,0,0,0,0,0,0,"6,858","6,936","29,362",US,MO,0035AT
Morocco,Soybeans,2005-2005,"18,864",0,0,"21,312",0,0,0,0,0,"4,612","15,310",0,"60,098",US,MO,0035AT
Morocco,Soybeans,2006-2006,"5,619","5,069",0,"5,598","2,095",0,"4,177","19,478","2,857","5,247","7,387","12,049","69,576",US,MO,0035AT
Morocco,Soybeans,2007-2007,"7,878","7,586","10,936",0,"6,776",0,0,0,0,"29,871","20,116","9,604","92,766",US,MO,0035AT
Morocco,Soybeans,2008-2008,"12,410",0,"13,426",0,0,0,0,0,0,0,"10,455","10,203","46,494",US,MO,0035AT
Morocco,Soybeans,2009-2009,0,"10,776","8,598",0,"12,599",47,0,20,0,0,"10,486",47,"42,574",US,MO,0035AT
Morocco,Soybeans,2010-2010,"14,825","2,289","11,936",0,16,0,51,57,"3,518","20,411",0,0,"53,103",US,MO,0035AT
Morocco,Soybeans,2011-2011,"6,890",0,"11,157",0,0,0,0,0,0,0,0,427,"18,475",US,MO,0035AT
Morocco,Soybeans,2012-2012,0,"6,257",0,"4,013","5,908","9,053",0,0,"6,395",0,"7,365",0,"38,990",US,MO,0035AT
Morocco,Soybeans,2013-2013,0,0,0,"7,532","2,592","6,134",0,0,0,0,"7,474",0,"23,732",US,MO,0035AT
Morocco,Soybeans,2014-2014,"8,003",0,0,0,0,0,0,0,0,0,"8,862",0,"16,865",US,MO,0035AT
Morocco,Soybeans,2015-2015,"7,035","11,063",0,"6,438","7,182",0,"2,980",0,0,"6,520",0,0,"41,219",US,MO,0035AT
Morocco,Soybeans,2016-2016,"1,914",0,0,"5,172",0,"4,429","6,023","9,037",0,0,0,0,"26,575",US,MO,0035AT
Morocco,Soybeans,2017-2017,0,"8,928",0,"7,607","2,097",0,0,0,0,"2,949",0,0,"21,581",US,MO,0035AT
Morocco,Soybeans,2018-2018,0,0,"2,424","2,274","2,179","2,992",0,0,11,"4,842",0,,"14,722",US,MO,0035AT
Mauritania,Soybeans,2015-2015,0,0,0,0,0,0,5,0,0,0,0,0,5,US,MR,0035AT
Mozambique,Soybeans,2009-2009,70,0,0,0,0,0,0,0,0,0,0,0,70,US,MZ,0035AT
Mozambique,Soybeans,2017-2017,0,0,0,0,0,0,0,0,0,0,0,129,129,US,MZ,0035AT
Mozambique,Soybeans,2018-2018,0,433,0,0,0,0,0,0,0,0,0,,433,US,MZ,0035AT
Nigeria,Soybeans,2003-2003,0,0,0,528,0,0,0,0,0,0,0,0,528,US,NI,0035AT
Nigeria,Soybeans,2005-2005,0,0,0,0,0,0,0,0,647,0,"1,897",0,"2,544",US,NI,0035AT
Nigeria,Soybeans,2008-2008,0,0,0,0,0,0,0,0,0,0,"5,219",0,"5,219",US,NI,0035AT
Nigeria,Soybeans,2013-2013,0,0,0,0,0,0,0,0,0,0,174,0,174,US,NI,0035AT
Nigeria,Soybeans,2015-2015,0,0,0,0,0,0,0,"5,881","5,697",0,"3,633",0,"15,210",US,NI,0035AT
Nigeria,Soybeans,2018-2018,0,0,0,0,"4,670",0,0,"10,791",0,0,0,,"15,461",US,NI,0035AT
Norway(*),Soybeans,2011-2011,0,0,0,0,0,0,0,0,0,0,"2,897","2,897","5,794",US,NO,0035AT
Suriname,Soybeans,2006-2006,0,0,0,0,0,0,0,0,0,0,0,345,345,US,NS,0035AT
Suriname,Soybeans,2012-2012,0,0,0,5,0,0,0,0,0,0,0,0,5,US,NS,0035AT
Suriname,Soybeans,2016-2016,0,0,3,0,0,0,0,0,0,0,0,0,3,US,NS,0035AT
Suriname,Soybeans,2017-2017,0,0,0,0,0,0,0,0,0,5,0,0,5,US,NS,0035AT
Netherlands Antilles(*),Soybeans,2007-2007,0,0,44,0,0,0,0,0,0,0,0,0,44,US,NT,0035AT
Netherlands Antilles(*),Soybeans,2011-2011,0,0,0,0,13,0,0,0,0,0,0,0,13,US,NT,0035AT
Netherlands Antilles(*),Soybeans,2015-2015,0,0,0,0,0,0,0,0,0,0,0,3,3,US,NT,0035AT
Netherlands Antilles(*),Soybeans,2016-2016,0,10,0,0,0,0,0,0,0,0,0,0,10,US,NT,0035AT
Netherlands Antilles(*),Soybeans,2018-2018,0,0,0,0,0,0,0,0,0,4,0,,4,US,NT,0035AT
Nicaragua,Soybeans,2001-2001,0,0,0,0,0,0,0,0,47,0,0,45,93,US,NU,0035AT
Nicaragua,Soybeans,2002-2002,0,0,0,0,0,326,0,0,0,252,0,0,577,US,NU,0035AT
Nicaragua,Soybeans,2003-2003,0,0,0,0,0,0,459,0,0,0,0,0,459,US,NU,0035AT
Nicaragua,Soybeans,2010-2010,0,0,0,0,0,0,0,0,0,"30,263",0,0,"30,263",US,NU,0035AT
Nicaragua,Soybeans,2011-2011,0,"3,911",0,0,0,0,0,0,0,0,0,0,"3,911",US,NU,0035AT
Nicaragua,Soybeans,2015-2015,0,320,0,0,0,0,0,0,0,0,0,0,320,US,NU,0035AT
Nicaragua,Soybeans,2016-2016,0,852,51,0,102,0,0,0,0,0,0,0,"1,004",US,NU,0035AT
Nicaragua,Soybeans,2017-2017,0,699,0,0,0,0,0,0,0,383,0,0,"1,082",US,NU,0035AT
Nicaragua,Soybeans,2018-2018,0,0,0,0,0,0,0,0,0,512,0,,512,US,NU,0035AT
New Zealand(*),Soybeans,2002-2002,0,0,0,0,0,15,0,0,0,0,0,9,24,US,NZ,0035AT
New Zealand(*),Soybeans,2003-2003,0,0,0,0,0,0,9,9,0,0,0,0,18,US,NZ,0035AT
New Zealand(*),Soybeans,2006-2006,0,0,0,0,0,0,0,0,41,27,0,0,68,US,NZ,0035AT
New Zealand(*),Soybeans,2008-2008,0,0,0,0,0,0,0,0,0,0,0,4,4,US,NZ,0035AT
New Zealand(*),Soybeans,2009-2009,0,45,0,0,0,0,0,0,0,0,0,0,45,US,NZ,0035AT
New Zealand(*),Soybeans,2016-2016,0,0,0,0,0,0,0,0,0,85,0,0,85,US,NZ,0035AT
New Zealand(*),Soybeans,2018-2018,0,0,0,0,0,0,144,0,0,0,0,,144,US,NZ,0035AT
Paraguay,Soybeans,2006-2006,0,0,3,0,0,0,0,0,0,0,0,0,3,US,PA,0035AT
Poland,Soybeans,2002-2002,0,45,45,30,0,15,0,0,0,0,0,0,135,US,PL,0035AT
Poland,Soybeans,2003-2003,10,0,10,0,10,0,0,0,0,0,0,0,29,US,PL,0035AT
Poland,Soybeans,2006-2006,0,0,0,0,44,0,0,0,0,0,0,0,44,US,PL,0035AT
Poland,Soybeans,2008-2008,0,0,0,0,0,0,0,21,0,0,0,0,21,US,PL,0035AT
Poland,Soybeans,2013-2013,0,0,0,3,0,0,0,0,0,0,0,0,3,US,PL,0035AT
Poland,Soybeans,2014-2014,0,0,0,0,0,0,0,0,0,3,0,0,3,US,PL,0035AT
Poland,Soybeans,2015-2015,16,765,0,0,0,0,0,0,0,0,0,0,781,US,PL,0035AT
Poland,Soybeans,2017-2017,0,0,0,0,0,0,0,0,0,0,0,83,83,US,PL,0035AT
Poland,Soybeans,2018-2018,0,0,"10,920",0,0,0,0,0,0,0,0,,"10,920",US,PL,0035AT
Panama,Soybeans,2002-2002,0,0,0,0,0,10,0,0,0,0,0,0,10,US,PM,0035AT
Panama,Soybeans,2003-2003,0,0,0,19,19,0,0,0,0,0,"1,821",0,"1,859",US,PM,0035AT
Panama,Soybeans,2006-2006,0,0,14,0,0,451,0,0,606,0,78,0,"1,149",US,PM,0035AT
Panama,Soybeans,2007-2007,0,305,292,0,608,0,0,604,0,0,0,0,"1,809",US,PM,0035AT
Panama,Soybeans,2008-2008,0,487,0,4,0,0,0,0,0,634,0,0,"1,125",US,PM,0035AT
Panama,Soybeans,2009-2009,0,746,0,0,0,313,0,0,0,0,0,412,"1,472",US,PM,0035AT
Panama,Soybeans,2010-2010,428,0,0,586,0,533,0,606,0,622,0,0,"2,774",US,PM,0035AT
Panama,Soybeans,2011-2011,0,0,639,0,0,0,0,0,0,702,0,0,"1,341",US,PM,0035AT
Panama,Soybeans,2012-2012,670,0,0,0,0,0,0,0,0,0,0,0,670,US,PM,0035AT
Panama,Soybeans,2013-2013,"2,054",34,"1,345",0,0,"1,988",0,0,0,"2,347",3,"1,079","8,850",US,PM,0035AT
Panama,Soybeans,2014-2014,0,892,"2,599",0,"2,693",0,0,0,0,"2,053",0,"1,825","10,063",US,PM,0035AT
Panama,Soybeans,2015-2015,0,823,14,"2,389",71,0,"2,646","2,012",0,0,"2,031",85,"10,070",US,PM,0035AT
Panama,Soybeans,2016-2016,"1,940",129,"2,101",0,"2,779",3,"2,405","2,769",0,"2,984",0,"2,389","17,499",US,PM,0035AT
Panama,Soybeans,2017-2017,0,"2,363",0,0,"2,175",27,"1,857","2,666",0,"1,467",0,"2,396","12,951",US,PM,0035AT
Panama,Soybeans,2018-2018,0,95,"2,784","2,713",0,"2,418",0,0,"2,360","1,441",0,,"11,811",US,PM,0035AT
Papua New Guinea,Soybeans,2018-2018,0,0,861,0,0,0,0,0,153,0,0,,"1,015",US,PP,0035AT
Qatar,Soybeans,2017-2017,0,0,0,0,0,0,3,0,0,0,0,0,3,US,QA,0035AT
Russia,Soybeans,2005-2005,0,0,7,0,0,0,0,0,0,0,0,0,7,US,RS,0035AT
Russia,Soybeans,2006-2006,0,0,3,0,36,27,0,0,0,0,0,0,66,US,RS,0035AT
Russia,Soybeans,2007-2007,0,0,0,23,79,0,0,0,0,0,"9,663",0,"9,766",US,RS,0035AT
Russia,Soybeans,2008-2008,0,0,0,66,0,0,0,0,51,0,0,0,117,US,RS,0035AT
Russia,Soybeans,2009-2009,0,0,"9,273",0,0,0,0,0,0,0,"29,524",0,"38,797",US,RS,0035AT
Russia,Soybeans,2010-2010,"10,432",15,"8,271",0,0,0,0,0,0,0,0,0,"18,718",US,RS,0035AT
Russia,Soybeans,2011-2011,0,"28,095",0,0,0,0,0,0,0,0,0,0,"28,095",US,RS,0035AT
Russia,Soybeans,2012-2012,0,"14,173",0,0,20,0,0,0,0,0,"15,523","16,308","46,024",US,RS,0035AT
Russia,Soybeans,2013-2013,"16,278",0,0,0,0,0,0,0,0,"16,166","60,329","64,094","156,867",US,RS,0035AT
Russia,Soybeans,2014-2014,"31,179","103,218",0,0,0,0,0,0,0,0,"29,665","19,801","183,863",US,RS,0035AT
Russia,Soybeans,2015-2015,"48,557","12,789",12,20,0,0,0,0,0,"43,985","39,142","44,695","189,200",US,RS,0035AT
Russia,Soybeans,2016-2016,"21,854","36,434",0,0,0,0,0,0,0,0,0,0,"58,289",US,RS,0035AT
Saudi Arabia,Soybeans,2001-2001,0,13,0,0,0,0,0,0,0,0,0,0,13,US,SA,0035AT
Saudi Arabia,Soybeans,2006-2006,0,0,0,7,0,0,0,0,0,0,0,0,7,US,SA,0035AT
Saudi Arabia,Soybeans,2007-2007,0,0,0,0,0,0,0,0,0,0,"7,532",0,"7,532",US,SA,0035AT
Saudi Arabia,Soybeans,2008-2008,0,0,305,16,0,0,0,"23,156",0,0,0,0,"23,478",US,SA,0035AT
Saudi Arabia,Soybeans,2009-2009,15,0,0,0,0,0,0,0,0,"22,449",0,0,"22,463",US,SA,0035AT
Saudi Arabia,Soybeans,2010-2010,0,0,"23,117",0,0,0,0,0,"9,572",0,0,0,"32,689",US,SA,0035AT
Saudi Arabia,Soybeans,2011-2011,"35,761",0,18,0,0,0,0,0,"51,123",0,0,0,"86,902",US,SA,0035AT
Saudi Arabia,Soybeans,2012-2012,0,"35,922",0,0,0,0,0,0,"46,338",0,"40,474","37,148","159,881",US,SA,0035AT
Saudi Arabia,Soybeans,2013-2013,0,0,0,0,0,0,0,0,0,"36,385",0,"76,238","112,623",US,SA,0035AT
Saudi Arabia,Soybeans,2014-2014,0,"37,646",0,0,0,0,0,0,0,"29,063",31,"31,386","98,126",US,SA,0035AT
Saudi Arabia,Soybeans,2015-2015,"27,771",0,0,"13,069",0,0,0,0,0,"25,946",0,"25,132","91,918",US,SA,0035AT
Saudi Arabia,Soybeans,2016-2016,0,0,0,0,0,0,0,"28,325",0,"27,063",0,"29,843","85,231",US,SA,0035AT
Saudi Arabia,Soybeans,2017-2017,"29,126",10,0,274,0,0,0,"27,133",0,"27,517","3,492",0,"87,553",US,SA,0035AT
Saudi Arabia,Soybeans,2018-2018,"3,507",0,0,16,0,"26,687",0,0,"23,654","21,038",0,,"74,902",US,SA,0035AT
South Africa,Soybeans,2002-2002,897,0,0,0,0,0,0,0,0,0,0,0,897,US,SF,0035AT
South Africa,Soybeans,2003-2003,0,0,8,0,0,0,0,0,0,0,0,0,8,US,SF,0035AT
South Africa,Soybeans,2005-2005,0,0,0,0,0,21,47,0,0,0,0,0,69,US,SF,0035AT
South Africa,Soybeans,2010-2010,0,0,0,0,0,0,0,0,21,0,0,0,21,US,SF,0035AT
South Africa,Soybeans,2011-2011,0,0,0,0,0,0,89,103,82,0,0,0,274,US,SF,0035AT
South Africa,Soybeans,2012-2012,0,12,0,0,0,0,0,0,0,0,0,0,12,US,SF,0035AT
South Africa,Soybeans,2013-2013,0,0,0,"2,984",0,0,0,0,0,0,0,0,"2,984",US,SF,0035AT
South Africa,Soybeans,2014-2014,0,0,221,0,0,0,0,0,0,0,0,0,221,US,SF,0035AT
Slovenia,Soybeans,2003-2003,0,0,0,10,0,10,10,0,0,0,0,0,30,US,SI,0035AT
Sweden,Soybeans,2001-2001,0,0,0,0,0,0,0,0,18,0,0,0,18,US,SW,0035AT
Sweden,Soybeans,2002-2002,27,0,27,27,0,54,16,27,54,9,20,20,281,US,SW,0035AT
Sweden,Soybeans,2003-2003,0,0,104,53,0,18,27,46,0,31,8,0,287,US,SW,0035AT
Sweden,Soybeans,2004-2004,0,10,0,0,0,0,5,0,0,0,0,0,15,US,SW,0035AT
Sweden,Soybeans,2005-2005,9,0,8,8,0,0,0,0,0,0,0,10,34,US,SW,0035AT
Sweden,Soybeans,2010-2010,0,4,0,0,0,0,0,0,0,0,0,0,4,US,SW,0035AT
Sweden,Soybeans,2011-2011,0,0,0,10,0,0,0,0,0,0,0,0,10,US,SW,0035AT
Sweden,Soybeans,2013-2013,18,0,0,0,0,18,0,19,0,0,0,0,55,US,SW,0035AT
Sweden,Soybeans,2014-2014,17,0,0,0,0,0,0,0,0,0,0,0,17,US,SW,0035AT
Syria,Soybeans,2001-2001,0,0,0,0,0,0,0,0,0,0,907,0,907,US,SY,0035AT
Syria,Soybeans,2002-2002,"4,749","1,524",0,0,0,0,0,0,0,0,0,"6,799","13,071",US,SY,0035AT
Syria,Soybeans,2004-2004,"7,134","8,124",0,0,0,0,0,0,"3,824","6,988","1,989",0,"28,059",US,SY,0035AT
Syria,Soybeans,2005-2005,0,"8,549",0,0,"3,458","2,008",0,"4,828",0,"1,932","7,385",0,"28,160",US,SY,0035AT
Syria,Soybeans,2006-2006,"8,410","4,124",0,0,0,"12,372",0,0,"6,441","11,604",0,"11,865","54,815",US,SY,0035AT
Syria,Soybeans,2007-2007,"4,120","6,065","8,843","4,292",0,0,"1,779",0,"17,549","17,703","3,220","7,881","71,451",US,SY,0035AT
Syria,Soybeans,2008-2008,"28,629","17,800",0,"14,769","14,015","20,438",0,"2,885",0,"26,580","13,270","8,822","147,207",US,SY,0035AT
Syria,Soybeans,2009-2009,"24,323","12,506","14,011","5,709","25,748","24,456",0,"7,438","7,366","12,383","21,915","11,806","167,662",US,SY,0035AT
Syria,Soybeans,2010-2010,"16,653","25,512","8,909","4,178","6,121","11,177",0,"11,138","24,576","18,320","21,436","12,347","160,367",US,SY,0035AT
Syria,Soybeans,2011-2011,0,0,0,"8,709",0,"8,047",0,"34,906",0,0,0,0,"51,661",US,SY,0035AT
Switzerland(*),Soybeans,2001-2001,0,0,6,16,0,0,0,33,5,"9,555",330,0,"9,944",US,SZ,0035AT
Switzerland(*),Soybeans,2002-2002,0,0,0,0,0,0,0,0,0,27,0,0,27,US,SZ,0035AT
Switzerland(*),Soybeans,2003-2003,0,0,0,0,0,0,0,0,0,0,11,0,11,US,SZ,0035AT
Switzerland(*),Soybeans,2004-2004,0,16,0,0,0,0,0,0,0,0,0,0,16,US,SZ,0035AT
Switzerland(*),Soybeans,2007-2007,0,0,0,0,426,0,0,0,0,0,0,0,426,US,SZ,0035AT
Switzerland(*),Soybeans,2008-2008,0,0,191,0,0,0,527,0,0,0,0,0,718,US,SZ,0035AT
Switzerland(*),Soybeans,2009-2009,"23,853",0,"1,250",0,0,0,0,0,0,0,0,0,"25,102",US,SZ,0035AT
Switzerland(*),Soybeans,2013-2013,0,"86,976",0,0,0,0,0,0,0,0,0,0,"86,976",US,SZ,0035AT
Trinidad and Tobago,Soybeans,2001-2001,0,0,"1,033","1,381","2,355","2,454",0,"2,283","2,609","2,006","1,532",0,"15,653",US,TD,0035AT
Trinidad and Tobago,Soybeans,2002-2002,0,994,"1,805","1,881","2,036",196,"2,787","2,972",0,"2,432","2,587","2,290","19,980",US,TD,0035AT
Trinidad and Tobago,Soybeans,2003-2003,"2,519",0,0,"1,081","2,158","2,140","1,858","1,894",0,"2,277","1,660",0,"15,587",US,TD,0035AT
Trinidad and Tobago,Soybeans,2004-2004,"4,596",0,"3,103","2,373",0,0,"6,273","2,051",0,"1,679","1,757",877,"22,709",US,TD,0035AT
Trinidad and Tobago,Soybeans,2005-2005,0,"1,875","1,920","1,612",0,"4,966",0,"2,054",0,0,0,0,"12,428",US,TD,0035AT
Trinidad and Tobago,Soybeans,2007-2007,0,0,0,0,0,0,0,0,0,0,0,18,18,US,TD,0035AT
Trinidad and Tobago,Soybeans,2010-2010,0,0,21,0,3,38,21,0,21,0,0,0,104,US,TD,0035AT
Trinidad and Tobago,Soybeans,2011-2011,0,0,0,0,0,0,0,0,0,0,4,0,4,US,TD,0035AT
Trinidad and Tobago,Soybeans,2012-2012,0,0,0,0,14,0,0,0,36,0,0,0,50,US,TD,0035AT
Trinidad and Tobago,Soybeans,2013-2013,0,0,0,0,30,24,55,0,0,76,23,0,207,US,TD,0035AT
Trinidad and Tobago,Soybeans,2014-2014,6,6,24,37,0,0,0,45,0,0,22,0,140,US,TD,0035AT
Trinidad and Tobago,Soybeans,2015-2015,0,0,76,0,239,0,168,0,0,63,63,0,609,US,TD,0035AT
Trinidad and Tobago,Soybeans,2016-2016,0,0,52,0,0,0,21,23,0,0,92,0,188,US,TD,0035AT
Trinidad and Tobago,Soybeans,2017-2017,27,0,0,0,19,47,44,20,0,0,0,0,158,US,TD,0035AT
Trinidad and Tobago,Soybeans,2018-2018,63,81,0,0,0,16,22,0,0,59,0,,240,US,TD,0035AT
Turkey,Soybeans,2001-2001,"2,353",0,"15,549","4,189","2,210","12,592","4,988","3,170",0,"5,053","10,465","8,937","69,505",US,TU,0035AT
Turkey,Soybeans,2002-2002,"6,605","10,620","5,384","8,962","5,165","2,917","10,805","5,414","11,438",0,"23,219","1,476","92,005",US,TU,0035AT
Turkey,Soybeans,2003-2003,"1,716","1,983","16,117","3,757",0,"9,755","4,766","7,204","4,626","18,812","22,211",0,"90,948",US,TU,0035AT
Turkey,Soybeans,2004-2004,"21,263","6,524",0,9,0,0,9,0,"2,164","8,292","9,222","24,554","72,036",US,TU,0035AT
Turkey,Soybeans,2005-2005,"3,945","24,121","6,883","10,590","12,263","2,360",0,0,"5,690","8,193","36,541","1,597","112,182",US,TU,0035AT
Turkey,Soybeans,2006-2006,0,"3,396","21,763","9,223","9,138","9,079","4,007","21,856","22,938","14,303","21,493","2,296","139,493",US,TU,0035AT
Turkey,Soybeans,2007-2007,"5,025","4,793","19,221","14,989","2,128","8,428","3,061","3,287","32,010","10,584","13,941","8,636","126,102",US,TU,0035AT
Turkey,Soybeans,2008-2008,"21,588","43,222","16,591","25,921","14,801",0,0,"5,309",0,"25,319","50,033","10,957","213,742",US,TU,0035AT
Turkey,Soybeans,2009-2009,"3,095","7,479","21,634","15,064","67,108","31,824","30,240","17,432",0,"33,909","7,010","106,746","341,540",US,TU,0035AT
Turkey,Soybeans,2010-2010,"46,738","74,894","11,819","2,992","14,250",0,"15,137","52,566",0,"9,668",0,"22,363","250,427",US,TU,0035AT
Turkey,Soybeans,2011-2011,"36,521","18,111","38,303",13,0,0,0,0,0,"4,184","8,799","22,081","128,012",US,TU,0035AT
Turkey,Soybeans,2012-2012,"36,593","27,061","24,056","34,686","67,258","43,505","50,425",0,0,"26,435","58,469","92,721","461,207",US,TU,0035AT
Turkey,Soybeans,2013-2013,"49,476",0,"12,569",38,0,0,0,0,0,0,"31,026","62,759","155,868",US,TU,0035AT
Turkey,Soybeans,2014-2014,"28,387","26,119","56,953",0,0,0,0,0,"4,945","47,753","162,545","26,707","353,407",US,TU,0035AT
Turkey,Soybeans,2015-2015,"73,541","28,161",5,0,0,"6,283",0,0,0,"34,542","31,540","24,563","198,636",US,TU,0035AT
Turkey,Soybeans,2016-2016,"25,357",0,"7,231",0,0,0,"17,675",0,0,"7,900",0,0,"58,163",US,TU,0035AT
Turkey,Soybeans,2017-2017,"39,543","10,743","15,998",0,0,0,0,"7,165",0,"18,051","14,206","33,177","138,883",US,TU,0035AT
Turkey,Soybeans,2018-2018,"35,048","27,088",0,0,0,0,0,0,"9,896","6,819",0,,"78,851",US,TU,0035AT
Tanzania,Soybeans,2011-2011,0,0,0,0,0,0,0,0,0,0,8,0,8,US,TZ,0035AT
United Kingdom,Soybeans,2001-2001,"15,903","10,635","8,014",12,0,0,15,14,0,"6,351","6,266","10,979","58,188",US,UK,0035AT
United Kingdom,Soybeans,2002-2002,"11,103","8,006",0,0,11,6,17,26,0,"7,989","7,650",11,"34,819",US,UK,0035AT
United Kingdom,Soybeans,2003-2003,"12,163",17,0,0,11,0,3,49,0,"10,022","11,031",35,"33,332",US,UK,0035AT
United Kingdom,Soybeans,2004-2004,17,0,56,19,0,0,0,0,0,"7,825","4,771","7,779","20,467",US,UK,0035AT
United Kingdom,Soybeans,2005-2005,0,"9,640",0,107,23,294,0,0,36,0,9,"8,792","18,901",US,UK,0035AT
United Kingdom,Soybeans,2006-2006,0,0,0,14,167,0,0,12,6,22,0,18,239,US,UK,0035AT
United Kingdom,Soybeans,2007-2007,0,"7,328",0,0,0,9,0,230,0,0,0,0,"7,567",US,UK,0035AT
